
Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 16:03:23 2019
Timers Off: Mon Sep  9 16:17:59 2019

Wall Time:      875.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Omega Integrals                     :      3.183u      1.883s      1.531w      1 calls
Amplitudes                          :    574.217u     16.083s     93.630w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.002w      1 calls
Exch10                              :      0.033u      0.000s      0.004w      1 calls
Ind20,r                             :     48.633u      1.283s      7.498w      1 calls
Exch-Ind20,r                        :      1.200u      0.217s      0.213w      1 calls
Disp20                              :      3.100u      0.167s      0.492w      1 calls
Exch-Disp20                         :     41.950u      0.717s      6.458w      1 calls
Elst12                              :      0.000u      0.017s      0.001w      1 calls
Exch11                              :      0.567u      0.083s      0.097w      1 calls
Exch12                              :    281.550u     10.267s     47.072w      1 calls
Ind22                               :     36.217u      6.450s      8.626w      1 calls
Disp21                              :      1.683u      0.417s      0.317w      1 calls
Disp22 (SDQ)                        :     73.983u      4.050s     12.455w      1 calls
Disp22 (T)                          :   3398.933u     35.783s    516.150w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 17:01:25 2019
Timers Off: Mon Sep  9 17:14:35 2019

Wall Time:      789.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     22.100u      0.000s      3.320w      1 calls
JK: (A|Q)^-1/2                      :      2.667u      0.067s      0.410w      1 calls
JK: (Q|mn)                          :     11.817u      0.033s      1.779w      1 calls
HF: Form core H                     :      0.017u      0.033s      0.037w      3 calls
HF: Form S/X                        :      1.100u      0.017s      0.172w      3 calls
HF: Guess                           :     13.733u      0.450s      2.128w      3 calls
SAD Guess                           :     13.483u      0.450s      2.091w      3 calls
HF: Form G                          :    179.267u      1.233s     27.143w     37 calls
JK: D                               :      0.067u      0.000s      0.010w     37 calls
JK: USO2AO                          :      0.083u      0.000s      0.011w     37 calls
JK: JK                              :    178.917u      1.233s     27.100w     37 calls
JK: J                               :     12.667u      0.067s      1.912w     37 calls
JK: J1                              :      6.133u      0.033s      0.932w     37 calls
JK: J2                              :      6.183u      0.017s      0.936w     37 calls
JK: K                               :    162.683u      0.217s     24.491w     37 calls
JK: K1                              :    145.500u      0.183s     21.909w     37 calls
JK: K2                              :     17.067u      0.033s      2.575w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.100u      0.000s      0.011w     37 calls
HF: Form D                          :      0.050u      0.000s      0.011w     37 calls
HF: DIIS                            :      3.850u      0.383s      0.648w     34 calls
DIISManager::add_entry              :      0.467u      0.117s      0.088w     34 calls
DIISManager::extrapolate            :      1.133u      0.217s      0.213w     34 calls
bMatrix setup                       :      0.517u      0.167s      0.109w     34 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     34 calls
New vector                          :      0.567u      0.050s      0.101w     34 calls
HF: Form C                          :     13.483u      0.267s      2.043w     34 calls
DF Integrals                        :    313.400u     23.567s     57.803w      1 calls
Omega Integrals                     :      3.150u      2.050s      1.617w      1 calls
Amplitudes                          :    555.750u     15.433s     93.680w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     48.217u      1.333s      7.442w      1 calls
Exch-Ind20,r                        :      1.233u      0.217s      0.218w      1 calls
Disp20                              :      3.100u      0.150s      0.490w      1 calls
Exch-Disp20                         :     41.600u      0.717s      6.400w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.567u      0.100s      0.097w      1 calls
Exch12                              :    283.650u     10.283s     47.362w      1 calls
Ind22                               :     36.950u      6.717s      8.864w      1 calls
Disp21                              :      1.667u      0.417s      0.312w      1 calls
Disp22 (SDQ)                        :     74.733u      4.200s     12.657w      1 calls
Disp22 (T)                          :   3336.967u     25.133s    505.273w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     22.100u      0.000s      3.320w      1 calls
JK: (A|Q)^-1/2                      :      2.667u      0.067s      0.410w      1 calls
JK: (Q|mn)                          :     11.817u      0.033s      1.779w      1 calls
HF: Form core H                     :      0.017u      0.033s      0.037w      3 calls
HF: Form S/X                        :      1.100u      0.017s      0.172w      3 calls
HF: Guess                           :     13.733u      0.450s      2.128w      3 calls
| SAD Guess                         :     13.483u      0.450s      2.091w      3 calls
HF: Form G                          :    179.267u      1.233s     27.143w     37 calls
| JK: D                             :      0.067u      0.000s      0.010w     37 calls
| JK: USO2AO                        :      0.083u      0.000s      0.011w     37 calls
| JK: JK                            :    178.917u      1.233s     27.100w     37 calls
| | JK: J                           :     12.667u      0.067s      1.912w     37 calls
| | | JK: J1                        :      6.133u      0.033s      0.932w     37 calls
| | | JK: J2                        :      6.183u      0.017s      0.936w     37 calls
| | JK: K                           :    162.683u      0.217s     24.491w     37 calls
| | | JK: K1                        :    145.500u      0.183s     21.909w     37 calls
| | | JK: K2                        :     17.067u      0.033s      2.575w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.100u      0.000s      0.011w     37 calls
HF: Form D                          :      0.050u      0.000s      0.011w     37 calls
HF: DIIS                            :      3.850u      0.383s      0.648w     34 calls
